livraison_id	date_depart	date_arrivee	distance_estimee	commande_id_commande_affecter_fk
338	11.02.2025 07:39	11.02.2025 07:57	null	338
339	11.02.2025 08:55	11.02.2025 09:09	null	339
340	11.02.2025 09:30	11.02.2025 09:47	null	340
341	11.02.2025 09:56	11.02.2025 10:08	null	341
342	11.02.2025 12:16	11.02.2025 12:28	null	342
343	11.02.2025 13:24	11.02.2025 13:33	null	343
345	11.02.2025 15:36	11.02.2025 15:50	null	345
352	11.02.2025 22:38	11.02.2025 22:52	null	352
355	12.02.2025 05:40	12.02.2025 05:51	null	355
356	12.02.2025 08:56	12.02.2025 09:06	null	356
361	12.02.2025 17:39	12.02.2025 17:48	null	361
362	12.02.2025 22:00	12.02.2025 22:14	null	362
363	12.02.2025 23:17	12.02.2025 23:33	null	363
364	12.02.2025 23:10	12.02.2025 23:19	null	364
365	13.02.2025 01:05	13.02.2025 01:20	null	365
375	13.02.2025 10:54	13.02.2025 11:05	null	375
380	14.02.2025 03:29	14.02.2025 03:40	null	380
382	14.02.2025 06:25	14.02.2025 06:43	null	382
384	14.02.2025 07:17	14.02.2025 07:25	null	384
389	14.02.2025 13:48	14.02.2025 13:59	null	389
391	15.02.2025 01:06	15.02.2025 01:17	null	391
392	15.02.2025 04:35	15.02.2025 04:46	null	392
393	15.02.2025 05:05	15.02.2025 05:22	null	393
395	15.02.2025 06:08	15.02.2025 06:23	null	395
396	15.02.2025 07:47	15.02.2025 07:58	null	396
397	15.02.2025 09:06	15.02.2025 09:16	null	397
404	15.02.2025 19:55	15.02.2025 20:08	null	404
405	15.02.2025 21:03	15.02.2025 21:13	null	405
408	16.02.2025 01:44	16.02.2025 01:59	null	408
409	16.02.2025 04:10	16.02.2025 04:20	null	409
410	16.02.2025 04:55	16.02.2025 05:07	null	410
413	16.02.2025 10:04	16.02.2025 10:12	null	413
415	16.02.2025 13:09	16.02.2025 13:22	null	415
416	16.02.2025 17:43	16.02.2025 17:51	null	416
417	17.02.2025 00:37	17.02.2025 00:55	null	417
418	17.02.2025 02:18	17.02.2025 02:29	null	418
419	17.02.2025 03:16	17.02.2025 03:24	null	419
420	17.02.2025 04:05	17.02.2025 04:20	null	420
424	17.02.2025 10:55	17.02.2025 11:06	null	424
425	17.02.2025 11:19	17.02.2025 11:35	null	425
430	17.02.2025 17:41	17.02.2025 17:49	null	430
431	17.02.2025 20:33	17.02.2025 20:43	null	431
432	17.02.2025 22:24	17.02.2025 22:35	null	432
435	18.02.2025 01:40	18.02.2025 01:54	null	435
441	18.02.2025 07:00	18.02.2025 07:11	null	441
444	18.02.2025 14:11	18.02.2025 14:22	null	444
449	18.02.2025 22:42	18.02.2025 22:50	null	449
450	18.02.2025 23:21	18.02.2025 23:36	null	450
454	19.02.2025 04:38	19.02.2025 04:50	null	454
455	19.02.2025 11:04	19.02.2025 11:12	null	455
458	19.02.2025 15:52	19.02.2025 16:03	null	458
461	20.02.2025 03:29	20.02.2025 03:40	null	461
468	20.02.2025 23:42	20.02.2025 23:52	null	468
472	21.02.2025 08:16	21.02.2025 08:27	null	472
474	21.02.2025 10:14	21.02.2025 10:27	null	474
476	21.02.2025 19:18	21.02.2025 19:31	null	476
477	21.02.2025 19:16	21.02.2025 19:27	null	477
479	21.02.2025 23:13	21.02.2025 23:27	null	479
480	22.02.2025 00:25	22.02.2025 00:35	null	480
481	22.02.2025 06:59	22.02.2025 07:09	null	481
486	22.02.2025 13:07	22.02.2025 13:19	null	486
487	22.02.2025 13:15	22.02.2025 13:29	null	487
490	22.02.2025 20:39	22.02.2025 20:56	null	490
493	23.02.2025 01:29	23.02.2025 01:47	null	493
496	23.02.2025 02:48	23.02.2025 03:00	null	496
498	23.02.2025 04:41	23.02.2025 04:50	null	498
500	23.02.2025 05:01	23.02.2025 05:10	null	500
501	23.02.2025 06:53	23.02.2025 07:05	null	501
502	23.02.2025 07:24	23.02.2025 07:32	null	502
505	23.02.2025 17:25	23.02.2025 17:40	null	505
507	23.02.2025 21:35	23.02.2025 21:50	null	507
512	24.02.2025 05:31	24.02.2025 05:45	null	512
514	24.02.2025 07:36	24.02.2025 07:54	null	514
516	24.02.2025 15:57	24.02.2025 16:10	null	516
517	24.02.2025 19:41	24.02.2025 19:57	null	517
518	24.02.2025 19:45	24.02.2025 20:02	null	518
519	24.02.2025 23:40	24.02.2025 23:52	null	519
525	25.02.2025 12:15	25.02.2025 12:28	null	525
526	25.02.2025 14:54	25.02.2025 15:06	null	526
532	26.02.2025 03:08	26.02.2025 03:21	null	532
533	26.02.2025 04:47	26.02.2025 05:00	null	533
535	26.02.2025 08:26	26.02.2025 08:38	null	535
537	26.02.2025 11:42	26.02.2025 12:00	null	537
538	26.02.2025 14:38	26.02.2025 14:49	null	538
539	26.02.2025 16:34	26.02.2025 16:52	null	539
542	27.02.2025 13:19	27.02.2025 13:33	null	542
544	27.02.2025 22:30	27.02.2025 22:47	null	544
547	28.02.2025 05:08	28.02.2025 05:16	null	547
